Miasto;Powiat;Województwo;Populacja;Obszar;Status;Szansa;IleNiepustych;979
Choszczno;powiat choszczeński;zachodniopomorskie;14831;9,60;0;5;;
Grodzisk Wielkopolski;powiat grodziski;wielkopolskie;14739;18,20;0;5;;
Ząbkowice Śląskie;powiat ząbkowicki;dolnośląskie;14606;13,70;0;5;;
Jędrzejów;powiat jędrzejowski;świętokrzyskie;14577;11,40;0;5;;
Niepołomice;powiat wielicki;małopolskie;14523;27,40;0;5;;
Staszów;powiat staszowski;świętokrzyskie;14321;26,90;0;5;;
Mosina;powiat poznański;wielkopolskie;14298;13,50;0;5;;
Chełmża;powiat toruński;kujawsko-pomorskie;14181;7,80;0;5;;
Lipno;powiat lipnowski;kujawsko-pomorskie;14135;11,00;0;5;;
Nowy Tomyśl;powiat nowotomyski;wielkopolskie;14093;5,20;0;5;;
Kartuzy;powiat kartuski;pomorskie;14079;7,40;0;5;;
Siemiatycze;powiat siemiatycki;podlaskie;14022;36,30;0;5;;
Skoczów;powiat cieszyński;śląskie;13996;9,90;0;5;;
Ostrzeszów;powiat ostrzeszowski;wielkopolskie;13840;12,10;0;5;;
Kępno;powiat kępiński;wielkopolskie;13760;7,80;0;5;;
Głowno;powiat zgierski;łódzkie;13727;19,80;0;5;;
Brwinów;powiat pruszkowski;mazowieckie;13718;14,70;0;5;;
Pszów;powiat wodzisławski;śląskie;13625;20,40;0;5;;
Łęczyca;powiat łęczycki;łódzkie;13587;9,00;0;5;;
Gołdap;powiat gołdapski;warmińsko-mazurskie;13551;17,20;0;5;;
Lubsko;powiat żarski;lubuskie;13548;12,50;0;5;;
Wschowa;powiat wschowski;lubuskie;13516;9,30;0;5;;
Radzymin;powiat wołomiński;mazowieckie;13502;23,40;0;5;;
Barlinek;powiat myśliborski;zachodniopomorskie;13491;17,60;0;5;;
Tuchola;powiat tucholski;kujawsko-pomorskie;13450;17,70;0;5;;
Słupca;powiat słupecki;wielkopolskie;13448;10,30;0;5;;
Dębno;powiat myśliborski;zachodniopomorskie;13443;19,50;0;5;;
Trzebnica;powiat trzebnicki;dolnośląskie;13394;10,60;0;5;;
